"key","message","comment","context"
"Action",,,"resources/domains/Meta.xml:68
resources/domains/Meta.xml:91
resources/views/Group.xml:28
resources/views/Meta.xml:112
resources/views/User.xml:29
resources/views/User.xml:56"
"Action Menu",,,"resources/views/Meta.xml:172"
"Action Menus",,,"resources/views/Menu.xml:103
resources/views/Menu.xml:105
resources/views/Meta.xml:160"
"Action name can't be changed.",,,"java/com/axelor/meta/web/MetaController.java:100"
"Actions",,,"resources/views/Menu.xml:88"
"Activate on",,,"resources/domains/User.xml:22"
"Activate the user from the specified date.",,,"resources/domains/User.xml:22"
"Active",,,"resources/domains/MetaSchedule.xml:19"
"Administration",,,"resources/views/Menu.xml:6"
"All Actions",,,"resources/views/Menu.xml:86
resources/views/Meta.xml:103"
"All Charts",,,"resources/views/Menu.xml:121
resources/views/Menu.xml:123
resources/views/Meta.xml:76"
"All Menus",,,"resources/views/Menu.xml:77"
"All Models",,,"resources/views/Menu.xml:59"
"All Modules",,,"resources/views/Menu.xml:50
resources/views/Meta.xml:33"
"All Schedules",,,"resources/views/Menu.xml:131
resources/views/Menu.xml:133"
"All Selects",,,"resources/views/Menu.xml:94
resources/views/Meta.xml:186"
"All Translations",,,"resources/views/Menu.xml:112
resources/views/Menu.xml:114
resources/views/Meta.xml:286"
"All Views",,,"resources/views/Menu.xml:68
resources/views/Meta.xml:64"
"All day",,,"resources/domains/Calendar.xml:23"
"All the customizations will be lost. Are you sure ?",,,"resources/views/Meta.xml:66"
"All views have been restored.",,,"java/com/axelor/meta/web/MetaController.java:145"
"Allow",,,"resources/views/Permission.xml:21"
"An unique permission name.",,,"resources/domains/Permission.xml:13"
"Attendees",,,"resources/domains/Calendar.xml:28
resources/views/Calendar.xml:31"
"Authorization",,,"resources/views/User.xml:32"
"Blocked",,,"resources/domains/User.xml:21"
"Calendar",,,"resources/domains/Calendar.xml:26
resources/views/Calendar.xml:40
resources/views/Calendar.xml:9
resources/views/Meta.xml:14"
"Calendar User",,,"resources/views/Calendar.xml:48"
"Calendar Users",,,"resources/views/Calendar.xml:44"
"Calendars",,,"resources/views/Calendar.xml:6"
"Category",,,"resources/domains/Meta.xml:87"
"Category name to group action menus.",,,"resources/domains/Meta.xml:87"
"Change password?",,,"resources/views/User.xml:36
resources/views/User.xml:58"
"Chart",,,"resources/views/Meta.xml:10"
