"key","message","comment","context"
"<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> The scheduler service is disabled.","<i class=""fa fa-exclamation-triangle"" aria-hidden=""true""></i> 已禁用任务计划服务。",,
"Access error","访问错误",,
"Action","动作",,
"Action Menu","动作菜单",,
"Action Menus","动作菜单",,
"Action name can't be changed.","不能更改动作名称",,
"Actions","动作",,
"Activate on","激活时间",,
"Activate the user from the specified date.","从指定日期开始激活用户。",,
"Active","激活",,
"Address","地址",,
"Administration","管理",,
"All Actions","全部动作",,
"All Charts","全部图表",,
"All Custom Views","全部自定义视图",,
"All Documents","全部文档",,
"All Menu Help","全部菜单帮助",,
"All Menus","全部菜单",,
"All Models","全部模型",,
"All Modules","全部模块",,
"All Schedules","全部任务计划",,
"All Selects","全部选择",,
"All Teams","全部团队",,
"All Translations","全部翻译",,
"All View Help","全部视图帮助",,
"All Views","全部视图",,
"All jobs have been restarted.","已重启所有的后台任务。",,
"All the customizations will be lost. Are you sure?","将丢失所有的定制！你确定要继续吗？",,
"All views have been restored (%s).","已恢复所有的视图（%s）。",,
"Allow","允许",,
"An unique permission name.","指定一个唯一的权限名称。",,
"Application","应用",,
"Archived","已存档",,
"Assigned to","分配给",,
"Attached to","附加到",,
"Attributes","属性",,
"Attrs","属性",,
"Author","作者",,
"Authorization","授权",,
"Authorized roles","已授权角色",,
"Block the user","阻止此用户登录",,
"Block the user for an indefinite period.","无限期阻止此用户登录。",,
"Body","正文",,
"Boolean","布尔型",,
"Button","按钮",,
"Calendar","日历",,
"Can read","可以读取",,
"Can share","可以分享",,
"Can write","可以写入",,
"Canceled","已取消",,
"Cards","卡片",,
"Category","类别",,
"Category name to group action menus.","用于分组动作菜单的类别名称。",,
"Change password?","修改密码？",,
"Chart","图表",,
"Client side js expression","客户端 JS 表达式",,
"Closed","已关闭",,
"Code","代码",,
"Code length should be greater than 2.","代码长度必须大于 2",,
"Collapse","收缩",,
"Column sequence","列顺序号",,
"Come back later. There are no messages in this folder...","请稍后回来。该文件夹里没有消息...",,
"Comma separated list of params for the condition.","该条件的参数，使用逗号分隔的列表。",,
"Comment","注释",,
"Computed","已计算",,
"Concurrent updates error","并发更新错误",,
"Condition","条件",,
"Condition params","条件参数",,
"Condition to check","要检查的条件",,
"Conditions","条件",,
"Configuration","配置",,
"Confirm password","再次输入密码",,
"Content","内容",,
"Content type","内容类型",,
"Context field","上下文字段",,
"Context field target","上下文字段目标",,
"Context field target name","上下文字段目标名称",,
"Context field title","上下文字段标题",,
"Context field value","上下文字段值",,
"Create","创建",,
"Created","已创建",,
"Created by","创建者",,
"Created on","创建时间",,
"Cron","Cron",,
"Current password","当前密码",,
"Custom","自定义",,
"Custom Fields","自定义字段",,
"Custom Models","自定义模型",,
"Custom field","自定义字段",,
"Custom fields","自定义字段",,
"Custom model","自定义模型",,
"Custom models","自定义模型",,
"Custom-ManyToMany","自定义——多对多",,
"Custom-ManyToOne","自定义——多对一",,
"Custom-OneToMany","自定义——一对多",,
"Dashboard","仪表盘",,
"Data","数据",,
"Date","日期",,
"DateTime","日期时间",,
"Decimal","十进制数",,
"Default","默认",,
"Default home action.","默认主页动作。",,
"Default value","默认值",,
"Dependent features","依赖的特性",,
"Dependent modules","依赖的模块",,
"Depends","依赖",,
"Depends On","依赖于",,
"Description","描述",,
"Details","明细",,
"Directories","目录",,
"Directory","目录",,
"Disable the user from the specified date.","在指定日期禁用用户",,
"Document","文档",,
"Documents","文档",,
"Domain","域",,
"Domain filter as condition.","域过滤器作为条件",,
"Download","下载",,
"Email","电子邮件",,
"Encryption error","加密错误",,
"Encryption key might be wrong.","加密密钥也许不正确。",,
"English","英语",,
"Enum","枚举",,
"Enum type","枚举型",,
"Expires on","过期时间",,
"Export","导出",,
"Export complete.","导出完成。",,
"Extension","扩展",,
"Favorite","收藏",,
"Favorites","收藏夹",,
"Field","字段",,
"Field is required.","字段是必填的。",,
"Fields","字段",,
"File","文件",,
"File added","已添加文件",,
"File name","文件名",,
"File path","文件路径",,
"File removed","已移除文件",,
"File type","文件类型",,
"Files","文件",,
"Filter custom","过滤自定义",,
"Filter files","过滤文件",,
"Filter view","过滤视图",,
"Filters","过滤器",,
"Flags","标志",,
"Following modules will be installed : <p>%s</p> Are you sure ?","将安装以下模块：<p>%s</p> 你确定吗？",,
"Following modules will be uninstalled : <p>%s</p> Are you sure ?","将卸载以下模块：<p>%s</p> 你确定吗？",,
"Force password change","强制修改密码",,
"Force the user to change their password at next login.","强制用户必须在下次登录时修改密码。",,
"Form","表单",,
"Form record","表单记录",,
"Form records","表单记录",,
"Form view","表单视图",,
"Form width","表单宽度",,
"French","法语",,
"From","发件人",,
"Fullname","全名",,
"Fully qualified object name or wild card package name.","全限定的对象名或带通配符的包名。",,
"Gantt","甘特图",,
"General","通用信息",,
"Grid","网格",,
"Grid view","网格视图",,
"Group","分组",,
"Group by","分组依据",,
"Groups","分组",,
"Help","帮助",,
"Help Management","帮助管理",,
"Help link","帮助链接",,
"Hidden","隐藏",,
"Hidden menu","隐藏菜单",,
"Hide if","隐藏条件",,
"High","高度",,
"Home action","主页动作",,
"Icon","图标",,
"Icon background","图标背景",,
"Important","重要",,
"In Progress","进行中",,
"Inbox","收件箱",,
"Inbox is empty!","收件箱是空的！",,
"Include if","包含条件",,
"Increment","增量",,
"Information","信息",,
"Initial","初始值",,
"Inline","行内",,
"Install","安装",,
"Install module","安装模块",,
"Installed","已安装",,
"Integer","整数",,
"Internal Server Error","内部服务器错误",,
"Invalid XML.","无效的 XML",,
"Invalid cron :","无效的 cron 表达式：",,
"Invalid field value.","无效的字段值。",,
"Invalid permission","无效的权限",,
"Invalid use of action-record: %s, must be the last action.","动作记录 %s 的使用方法无效，必须作为最后一个动作。",,
"Inverse","反转",,
"Is archived","已标记为存档",,
"Is directory","为目录",,
"Is read","为只读",,
"Is starred","为已启动",,
"Items","条目",,
"Job","后台任务",,
"Job Management","后台任务管理",,
"Job has been updated.","后台任务已更新",,
"Json","JSON",,
"Json model","JSON 模型",,
"Kanban","看板",,
"Key","键",,
"Label","标签",,
"Language","语言",,
"Last modified","最后修改于",,
"Last password update date","最近密码更新日期",,
"Left menu","左侧菜单",,
"Link","链接",,
"Login","用户名",,
"Low","低",,
"Mail","邮件",,
"ManyToMany","多对多",,
"ManyToOne","多对一",,
"Mapped by","映射条件",,
"Max","最大值",,
"Max size","最大大小",,
