"key","translation","domain"
"Field is required.","Champ requit.",
"Invalid field value.","Valeur non valide.",
"active","Activé",
"title","Titre",
"type","Type",
"model","Modèle",
"xml","XML",
"priority","Priorité",
"icon","Icone",
"parent","Parent",
"action","Action",
"category","Catégorie",
"key","Clé",
"value","Valeur",
"packageName","Package",
"tableName","Table",
"metaFields","Champs",
"fullName","Nom complet",
"metaModel","Modèle",
"typeName","Type",
"label","Libélle",
"relationship","Relation",
"mappedBy","Mappé avec",
"description","Description",
"language","Langue",
"translation","Traduction",
"Administration","Administration",
"Model Management","Gestion des modèles",
"View Management","Gestion des vues",
"All Models","Les Modèles",
"Models","Modèle",
"All Views","Les Vues",
"Views","Vues",
"All Menus","Les Menus",
"Menus","Menus",
"All Actions","Les Actions",
"Actions","Actions",
"All Selects","Les Selections",
"Selects","Selections",
"Action Menus","Les Action Menus",
"All Translations","Les Traductions",
"Grid","Grille",
"Form","Formulaire",
"Tree","Arbre",
"Search","Recherche",
"Portal","Portail",
"View","Vue",
"XML","XML",
"View Details","Détails de la vue",
"Validate","Valider",
"Restore","Restaurer",
"Restore All","Tous restaurer",
"Preview","Prévisualiser",
"Action","Action",
"Menu Items","Entrées menu",
"Menu Item","Entrée menu",
"Action Menu","Action Menu",
"Select","Selections",
"Model","Modèle",
"Fields","Champs",
"Field","Champ",
"Show Model","Voir le modèle",
"Description","Description",
"Translation","Traduction",
"Export All","Tous exporter",
"All the customizations will be lost. Are you sure?","Toutes les changements seront perdus. Voullez-vous continuer ?",
"Not implemented yet!","Pas encore implémenté!",
"exportPath","Chemin d'export",
"Please enter your export path fisrt.","Merci de renseigné un chemin d'export.",
"Export done.","Export terminé."
