"key","message","comment","context"
"({0} items)",,,"webapp/js/widget/widget.slickgrid.js:1751"
"About",,,"webapp/index.jsp:121"
"Action",,,"webapp/js/form/form.input.static.js:156
webapp/js/view/view.search.js:563
webapp/js/view/view.search.js:772"
"Action Category",,,"webapp/js/view/view.search.js:547
webapp/js/view/view.search.js:756"
"Action Sub-Category",,,"webapp/js/view/view.search.js:555
webapp/js/view/view.search.js:764"
"Active Users",,,"webapp/partials/system.html:36"
"Add",,,"webapp/js/form/form.relational.nested.js:174"
"Add Field",,,"webapp/js/widget/widget.update.js:381"
"Add filter",,,"webapp/js/widget/widget.search.js:486"
"Advanced Search",,,"webapp/js/widget/widget.search.js:920"
"Alert",,,"webapp/js/lib/dialogs.js:206"
"All Day",,,"webapp/js/view/view.calendar.js:446"
"Apply",,,"webapp/js/widget/widget.search.js:492"
"Apr",,,"webapp/js/form/form.input.datetime.js:41"
"April",,,"webapp/js/form/form.input.datetime.js:27"
"Aug",,,"webapp/js/form/form.input.datetime.js:45"
"August",,,"webapp/js/form/form.input.datetime.js:31"
"Back",,,"webapp/js/form/form.relational.nested.js:172
webapp/partials/views/form.html:18
webapp/partials/views/form.html:19"
"Cancel",,,"webapp/js/form/form.relational.nested.js:175
webapp/js/lib/dialogs.js:63
webapp/js/widget/widget.update.js:420
webapp/partials/views/form.html:15
webapp/partials/views/form.html:16
webapp/partials/views/trail.html:7"
"Clear",,,"webapp/js/form/form.relational.nested.js:348
webapp/js/view/view.search.js:582
webapp/js/widget/widget.search.js:488
webapp/js/widget/widget.update.js:383"
"Close",,,"webapp/js/axelor.app.js:392
webapp/js/form/form.relational.nested.js:350
webapp/js/widget/widget.dialog.js:32
webapp/partials/about.html:51
webapp/partials/nav-tabs.html:23
webapp/partials/preferences.html:16
webapp/partials/system.html:64"
"Close All",,,"webapp/partials/nav-tabs.html:25"
"Close Others",,,"webapp/partials/nav-tabs.html:24"
"Concurrent updates error.",,,"webapp/js/axelor.app.js:445"
"Create",,,"webapp/js/view/view.popup.js:662"
"Create ""{0}"" and add...",,,"webapp/js/form/form.relational.multiple.js:696"
"Create ""{0}"" and select...",,,"webapp/js/form/form.relational.single.js:291"
"Create ""{0}""...",,,"webapp/js/form/form.relational.multiple.js:700
webapp/js/form/form.relational.single.js:295"
"Create new",,,"webapp/partials/views/trail.html:6"
"Create...",,,"webapp/js/form/form.relational.multiple.js:718
webapp/js/form/form.relational.single.js:302"
"Created By:",,,"webapp/js/view/view.form.js:686"
"Created On:",,,"webapp/js/view/view.form.js:682"
"Current changes will be lost.",,,"webapp/js/axelor.nav.js:434"
"Current changes will be lost. Do you really want to proceed?",,,"webapp/js/view/view.form.js:536"
"Day",,,"webapp/partials/views/calendar.html:8"
"Dec",,,"webapp/js/form/form.input.datetime.js:49"
"December",,,"webapp/js/form/form.input.datetime.js:35"
"Delete",,,"webapp/js/view/view.calendar.js:489
webapp/js/view/view.form.js:711
webapp/js/widget/widget.search.js:954
webapp/partials/views/grid.html:16
webapp/partials/views/grid.html:17"
"Do you really want to delete the selected record(s)?",,,"webapp/js/form/form.relational.multiple.js:200
webapp/js/view/view.grid.js:403
webapp/js/view/view.popup.js:360"
"Do you really want to delete the selected record?",,,"webapp/js/view/view.form.js:552"
"Do you really want to update all {0} records?",,,"webapp/js/widget/widget.update.js:305"
"Domain",,,"webapp/js/form/form.input.static.js:162"
"Done",,,"webapp/js/form/form.input.datetime.js:67"
"Download",,,"webapp/js/view/view.popup.js:723"
"Duplicate",,,"webapp/js/view/view.form.js:719"
"Edit",,,"webapp/js/form/form.relational.multiple.js:575
webapp/js/form/form.relational.single.js:180
webapp/partials/views/form.html:10
webapp/partials/views/form.html:9
webapp/partials/views/grid.html:10
webapp/partials/views/grid.html:9"
"Edit event",,,"webapp/js/view/view.calendar.js:502"
"Error",,,"webapp/js/axelor.app.js:370
webapp/js/lib/dialogs.js:221
webapp/js/lib/dialogs.js:41"
"Expanded",,,"webapp/js/view/view.chart.js:565"
"Export",,,"webapp/js/widget/widget.search.js:490"
"Export in progress ...",,,"webapp/js/view/view.grid.js:610"
"Failed!",,,"webapp/partials/login-window.html:11"
"Feb",,,"webapp/js/form/form.input.datetime.js:39"
"February",,,"webapp/js/form/form.input.datetime.js:25"
"Field Name",,,"webapp/js/form/form.input.static.js:201"
"Field Type",,,"webapp/js/form/form.input.static.js:202"
"Filter",,,"webapp/js/form/form.input.static.js:209"
"Filters",,,"webapp/js/widget/widget.search.js:924"
"Fr",,,"webapp/js/form/form.input.datetime.js:61"
"Free Memory",,,"webapp/partials/system.html:30"
"Fri",,,"webapp/js/form/form.input.datetime.js:60"
"Friday",,,"webapp/js/form/form.input.datetime.js:57"
"Go",,,"webapp/js/view/view.search.js:599
webapp/js/view/view.search.js:795"
"Group by",,,"webapp/js/widget/widget.slickgrid.js:539"
"Grouped",,,"webapp/js/view/view.chart.js:26"
"Hide",,,"webapp/js/widget/widget.slickgrid.js:547"
"Hour",,,"webapp/js/form/form.input.datetime.js:63"
"Information",,,"webapp/js/lib/dialogs.js:198
webapp/js/lib/dialogs.js:28
webapp/js/lib/dialogs.js:96"
"Internal Server Error",,,"webapp/js/axelor.app.js:437"
"Jan",,,"webapp/js/form/form.input.datetime.js:38"
"January",,,"webapp/js/form/form.input.datetime.js:24"
"Java Runtime",,,"webapp/partials/system.html:11"
"Java Version",,,"webapp/partials/system.html:13"
"Jul",,,"webapp/js/form/form.input.datetime.js:44"
"July",,,"webapp/js/form/form.input.datetime.js:30"
"Jun",,,"webapp/js/form/form.input.datetime.js:43"
"June",,,"webapp/js/form/form.input.datetime.js:29"
"Last access time",,,"webapp/partials/system.html:46"
"Loading",,,"webapp/js/axelor.app.js:58"
"Log in",,,"webapp/js/axelor.app.js:340
webapp/js/axelor.app.js:351
webapp/login.jsp:26"
"Log in attempt failed.",,,"webapp/partials/login-window.html:11"
"Log in time",,,"webapp/partials/system.html:45"
"Log out",,,"webapp/index.jsp:123"
"Log...",,,"webapp/js/view/view.form.js:728"
"Mar",,,"webapp/js/form/form.input.datetime.js:40"
"March",,,"webapp/js/form/form.input.datetime.js:26"
