"key","message","comment","context"
"({0} items)","","","webapp/js/widget/widget.slickgrid.js:1709"
"Action","","","webapp/js/view/view.search.js:563
webapp/js/form/form.input.static.js:149
webapp/js/view/view.search.js:772"
"Action Category","","","webapp/js/view/view.search.js:547
webapp/js/view/view.search.js:756"
"Action Sub-Category","","","webapp/js/view/view.search.js:764
webapp/js/view/view.search.js:555"
"Alert","","","webapp/js/lib/dialogs.js:206"
"All Day","","","webapp/js/view/view.calendar.js:446"
"Apr","Avril","","webapp/js/form/form.input.datetime.js:41"
"April","Avril","","webapp/js/form/form.input.datetime.js:27"
"Aug","Août","","webapp/js/form/form.input.datetime.js:45"
"August","Août","","webapp/js/form/form.input.datetime.js:31"
"Back","","","webapp/partials/views/form.html:18
webapp/partials/views/form.html:19"
"Cancel","","","webapp/partials/views/trail.html:7
webapp/partials/views/form.html:15
webapp/js/lib/dialogs.js:63
webapp/partials/views/form.html:16"
"Clear","","","webapp/js/view/view.search.js:582"
"Close","","","webapp/partials/about.html:45
webapp/js/widget/widget.dialog.js:32
webapp/js/axelor.app.js:391
webapp/partials/preferences.html:16
webapp/partials/nav-tabs.html:21"
"Close All","","","webapp/partials/nav-tabs.html:23"
"Close Others","","","webapp/partials/nav-tabs.html:22"
"Concurrent updates error.","","","webapp/js/axelor.app.js:444"
"Create ""{0}"" and add...","","","webapp/js/form/form.relational.multiple.js:671"
"Create ""{0}"" and select...","","","webapp/js/form/form.relational.single.js:276"
"Create ""{0}""...","","","webapp/js/form/form.relational.single.js:280
webapp/js/form/form.relational.multiple.js:675"
"Create new","","","webapp/partials/views/trail.html:6"
"Create...","","","webapp/js/form/form.relational.multiple.js:693
webapp/js/form/form.relational.single.js:287"
"Created By:","","","webapp/js/view/view.form.js:664"
"Created On:","","","webapp/js/view/view.form.js:660"
"Current changes will be lost.","","","webapp/js/axelor.nav.js:422"
"Current changes will be lost. Do you really want to proceed?","","","webapp/js/view/view.form.js:514"
"Day","","","webapp/partials/views/calendar.html:8"
"Dec","Déc","","webapp/js/form/form.input.datetime.js:49"
"December","Décembre","","webapp/js/form/form.input.datetime.js:35"
"Delete","","","webapp/js/view/view.calendar.js:489
webapp/partials/views/grid.html:16
webapp/partials/views/grid.html:17
webapp/js/view/view.form.js:689"
"Do you really want to delete the selected record(s)?","","","webapp/js/view/view.popup.js:332
webapp/js/form/form.relational.multiple.js:194
webapp/js/view/view.grid.js:403"
"Do you really want to delete the selected record?","","","webapp/js/view/view.form.js:530"
"Do you really want to update all {0} records?","","","webapp/js/widget/widget.update.js:305"
"Domain","","","webapp/js/form/form.input.static.js:155"
"Done","Choisir","","webapp/js/form/form.input.datetime.js:67"
"Duplicate","","","webapp/js/view/view.form.js:697"
"Edit","","","webapp/partials/views/form.html:10
webapp/partials/views/grid.html:10
webapp/partials/views/form.html:9
webapp/partials/views/grid.html:9"
"Edit event","","","webapp/js/view/view.calendar.js:502"
"Error","","","webapp/js/lib/dialogs.js:41
webapp/js/axelor.app.js:369
webapp/js/lib/dialogs.js:221"
"Export in progress ...","","","webapp/js/view/view.grid.js:610"
"Failed!","","","webapp/partials/login-window.html:11"
"Feb","Févr","","webapp/js/form/form.input.datetime.js:39"
"February","Février","","webapp/js/form/form.input.datetime.js:25"
"Field Name","","","webapp/js/form/form.input.static.js:188"
"Field Type","","","webapp/js/form/form.input.static.js:189"
"Filter","","","webapp/js/form/form.input.static.js:196"
"Fr","V","","webapp/js/form/form.input.datetime.js:61"
"Fri","Fri","","webapp/js/form/form.input.datetime.js:60"
"Friday","Vendredi","","webapp/js/form/form.input.datetime.js:57"
"Go","","","webapp/js/view/view.search.js:795
webapp/js/view/view.search.js:599"
"Group by","","","webapp/js/widget/widget.slickgrid.js:532"
"Grouped","","","webapp/js/view/view.chart.js:38"
"Hide","","","webapp/js/widget/widget.slickgrid.js:540"
"Hour","Heure","","webapp/js/form/form.input.datetime.js:63"
"Information","","","webapp/js/lib/dialogs.js:28
webapp/js/lib/dialogs.js:96
webapp/js/lib/dialogs.js:198"
"Internal Server Error","","","webapp/js/axelor.app.js:436"
"Jan","Janv","","webapp/js/form/form.input.datetime.js:38"
"January","","","webapp/js/form/form.input.datetime.js:24"
"Jul","Juil","","webapp/js/form/form.input.datetime.js:44"
"July","Juillet","","webapp/js/form/form.input.datetime.js:30"
"Jun","Juin","","webapp/js/form/form.input.datetime.js:43"
"June","Juin","","webapp/js/form/form.input.datetime.js:29"
"Loading","","","webapp/js/axelor.app.js:58"
"Log in","","","webapp/login.jsp:26"
"Log...","","","webapp/js/view/view.form.js:706"
"Login","","","webapp/js/axelor.app.js:350
webapp/js/axelor.app.js:339"
"Login attempt failed.","","","webapp/partials/login-window.html:11"
"Mar","Mars","","webapp/js/form/form.input.datetime.js:40"
"March","Mars","","webapp/js/form/form.input.datetime.js:26"
"Mass Update","","","webapp/partials/views/grid.html:12"
"May","Mai","","webapp/js/form/form.input.datetime.js:42
webapp/js/form/form.input.datetime.js:28"
"Minute","Minute","","webapp/js/form/form.input.datetime.js:64"
"Mo","L","","webapp/js/form/form.input.datetime.js:61"
"Mon","Mon","","webapp/js/form/form.input.datetime.js:60"
"Monday","Lundi","","webapp/js/form/form.input.datetime.js:53"
"Month","","","webapp/partials/views/calendar.html:6"
"New","","","webapp/partials/views/form.html:7
webapp/partials/views/grid.html:7
webapp/partials/views/grid.html:6
webapp/partials/views/form.html:6"
"Next","Suivant","","webapp/js/form/form.input.datetime.js:69"
"No","","","webapp/js/lib/dialogs.js:63"
"No Data Available.","","","webapp/js/view/view.chart.js:564"
"No records found.","","","webapp/js/widget/widget.slickgrid.js:657
webapp/js/view/view.search.js:194"
"Nov","Nov","","webapp/js/form/form.input.datetime.js:48"
"November","Novembre","","webapp/js/form/form.input.datetime.js:34"
"Now","Aujourd'hui","","webapp/js/form/form.input.datetime.js:66"
"OK","","","webapp/js/widget/widget.dialog.js:42
webapp/js/lib/dialogs.js:103
webapp/js/lib/dialogs.js:62"
"Object","","","webapp/js/form/form.input.static.js:152
webapp/js/form/form.input.static.js:187
webapp/js/view/view.search.js:353"
"Oct","Oct","","webapp/js/form/form.input.datetime.js:47"
"October","Octobre","","webapp/js/form/form.input.datetime.js:33"
"Offline!","","","webapp/partials/login-window.html:14"
"Orig. Value","","","webapp/js/form/form.input.static.js:230"
"Password","","","webapp/partials/login-window.html:6
webapp/login.jsp:29"
"Please correct the invalid form values.","","","webapp/js/form/form.actions.js:281"
"Please sign in","","","webapp/login.jsp:24"
"Please wait...","","","webapp/js/axelor.app.js:202"
"Prev","Précédent","","webapp/js/form/form.input.datetime.js:68"
"Question","","","webapp/js/lib/dialogs.js:59"
"Reference","","","webapp/js/form/form.input.static.js:200"
"Refresh","","","webapp/js/view/view.form.js:684
webapp/partials/views/calendar.html:11
webapp/partials/views/trail.html:10"
