"key","message","comment","context"
"AND","ET","","resources/views/Node.xml:18"
"Account","Compte","","java/com/axelor/wkf/db/node/MessageEvent.java:32"
"Action","Action","","java/com/axelor/wkf/db/Node.java:79"
"Active","Active","","java/com/axelor/wkf/db/Workflow.java:91"
"Activities","Activités","","resources/views/Node.xml:88
resources/views/Menu.xml:45
resources/views/Menu.xml:47"
"Activity","Activité","","resources/views/Node.xml:93"
"BPMN","BPMN","","resources/views/Workflow.xml:36
java/com/axelor/wkf/db/Workflow.java:96"
"Condition","Condition","","java/com/axelor/wkf/db/Workflow.java:78
java/com/axelor/wkf/db/Transition.java:80"
"Configurations","Configurations","","resources/views/Menu.xml:26"
"Counter","Compteur","","resources/views/Instance.xml:58
java/com/axelor/wkf/db/InstanceCounter.java:54
resources/views/Instance.xml:33"
"Counters","Compteurs","","java/com/axelor/wkf/db/Instance.java:75
resources/views/Instance.xml:53"
"Description","Description","","java/com/axelor/wkf/db/Transition.java:88
java/com/axelor/wkf/db/Node.java:94
resources/views/Workflow.xml:112
resources/views/Workflow.xml:66
resources/views/Workflow.xml:33
resources/views/Workflow.xml:89
java/com/axelor/wkf/db/Workflow.java:87"
"Details","Détails","","resources/views/Instance.xml:24"
"Diagram","Diagramme","","resources/views/Instance.xml:21"
"Editor","Editeur","","resources/views/Workflow.xml:18"
"End event","Evénement de fin","","resources/views/Node.xml:78
resources/views/Node.xml:10"
"End events","Evénements de fin","","resources/views/Menu.xml:55
resources/views/Node.xml:74
resources/views/Menu.xml:53"
"End transitions","Transitions de fin","","java/com/axelor/wkf/db/Node.java:88"
"Exclusive gateway","Passerelle exclusive","","resources/views/Node.xml:124"
"Exclusive gateways","Passerelles exclusives","","resources/views/Node.xml:120
resources/views/Menu.xml:101
resources/views/Menu.xml:99"
"Executed transitions","Transitions exclusives","","java/com/axelor/wkf/db/Instance.java:67"
"Gateway","Passerelle","","resources/views/Node.xml:11"
"Gateways","Passerelles","","resources/views/Menu.xml:80"
"Histories","Historiques","","resources/views/Instance.xml:39
java/com/axelor/wkf/db/Instance.java:71"
"History","Historique","","resources/views/Instance.xml:45
resources/views/Instance.xml:28"
"Import","Import","","resources/views/Workflow.xml:20"
"Inclusive gateway","Passerelle inclusive","","resources/views/Node.xml:109"
"Inclusive gateways","Passerelles inclusives","","resources/views/Menu.xml:83
resources/views/Node.xml:105
resources/views/Menu.xml:85"
"Instance","Instance","","java/com/axelor/wkf/db/InstanceCounter.java:46
java/com/axelor/wkf/db/InstanceHistory.java:46
resources/views/Instance.xml:14"
"Instances","Instances","","resources/views/Menu.xml:18
resources/views/Workflow.xml:19
resources/views/Instance.xml:5
resources/views/Menu.xml:20"
